id,question,letter,answer,img
1479,Bezpołączeniowy protokół warstwy transportowej modelu ISO/OSI to,D,UDP,0
1480,Protokołem odpowiedzialnym za wykrywanie i eliminowanie kolizji w sieciach Ethernet jest,D,CSMA/CD,0
1481,Urządzenie sieciowe pracujące w trzeciej warstwie modelu ISO/OSI operującej na adresach IP to,B,router,0
1482,Która z cech charakteryzuje przełącznik sieciowy?,B,Z otrzymanych ramek odczytuje adresy MAC,0
1483,Wymiana koncentratorów na przełączniki w sieci Ethernet spowoduje,B,zmniejszenie ilości kolizji,0
1484,Które urządzenie sieciowe pozwala połączyć sieć LAN z WAN?,B,Router,0
1485,Oblicz koszt brutto materiałów niezbędnych do połączenia w sieć w topologii gwiazdy 3 komputerów wyposażonych w karty sieciowe wykorzystując przewody o długości 2 m. Ceny materiałów podano w tabeli.,B,92 zł,1
1486,Aby w budowanej sieci komputerowej zapewnić najmniejszy wpływ zakłóceń elektromagnetycznych na przesyłany sygnał należy zastosować,A,światłowód,0
1487,Które medium transmisyjne należy zastosować aby połączyć dwa punkty dystrybucyjne odległe od siebie o 600m?,A,światłowód,0
1488,W sieci Ethernet 100Base-TX do transmisji danych wykorzystywane są żyły kabla UTP dołączone do pinów,D,1236,0
1489,Komputer ma adres IP 192.168.0.1 maska podsieci to 255.255.255.0. Który adres jest adresem rozgłoszeniowym podsieci do której należy ten komputer?,D,192.168.0.255,0
1490,Komputer o adresie IP 192.168.5.165 z maską podsieci 255.255.255.192 pracuje w sieci o adresie,C,192.168.5.128,0
1491,Router na interfejsie LAN ma przypisany adres IP 192.168.50.1. Został on tak skonfigurowany że komputerom przydziela się wszystkie dostępne adresy IP w sieci 192.168.50.0 z maską 255.255.255.0. Ile maksymalnie komputerów może pracować w takiej sieci?,B,253,0
1492,Który zapis jest maską podsieci dla adresu IP 217.152.128.100/25?,B,255.255.255.128,0
1493,Na rysunku podano podstawową informację o konfiguracji karty sieciowej. Do której klasy adresów IP należy adres przypisany tej karcie?,C,Klasy C,1
1494,Którą maskę należy zastosować aby sieć o adresie 192.168.1.0 podzielić na 4 podsieci?,C,255.255.255.192,0
1495,Który parametr trzeba podać podczas konfiguracji serwera DHCP?,A,Czas trwania dzierżawy adresu IP,0
1496,Które polecenie jest stosowane do monitorowania lokalnych połączeń?,D,netstat,0
1497,Który port jest domyślnym portem serwera usługi WWW?,A,80,0
1498,Aby zapewnić dobrą jakość połączeń głosowych VoIP kosztem innych przesyłanych danych należy na routerze włączyć i skonfigurować usługę,B,QoS,0
1499,Router Wi-Fi pracujący w standardzie 802.11n pozwala uzyskać maksymalną prędkość transmisji,C,600 Mb/s,0
1500,Użytkownik laptopa z systemu Windows 7 widzi dostępne sieci bezprzewodowe jak na rysunku. Konfigurując połączenie z siecią Z1 musi dla tej sieci podać,D,klucz zabezpieczeń,1
1501,Rezultat wykonania którego polecenia z systemu Windows przedstawia rysunek?,B,tracert www.onet.pl,1
1502,Który z sieciowych systemów operacyjnych jest udostępniany na licencji GNU?,B,Linux,0
1503,Do konfiguracji interfejsu sieciowego w systemie Linux służy polecenie,A,ifconfig,0
1504,Który pakiet należy zainstalować na serwerze Linux aby stacje robocze z systemem Windows mogły korzystać z plików i drukarek udostępnianych na tym serwerze?,C,Samba,0
1505,Apache jest serwerem,B,WWW,0
1506,Serwerem poczty e-mail jest,A,Postfix,0
1507,Protokół umożliwiający pobieranie poczty e-mail z serwera to:,C,POP3,0
1508,Aby zarządzać wielkością transferu sieciowego administrator powinien wykorzystać program typu,D,bandwidth manager,0
1509,Podstawowy mechanizm ochrony danych w sieci komputerowej przed nieuprawnionym dostępem to,D,autoryzacja dostępu do zasobów serwera,0
1510,Podstawowy protokół używany do wyznaczenia trasy i wysyłania nią pakietu danych w sieci komputerowej to,A,RIP,0
1511,Na rysunku przedstawiono zrzut ekranu z konfiguracji strefy DMZ na routerze. Włączenie opcji "Enable DMZ" spowoduje że komputer o adresie IP 192.168.0.106,D,będzie publicznie widoczny w Internecie,1
1512,Poniżej przedstawiono fragment pliku konfiguracyjnego usługi serwerowej w systemie Linux. Jest to usługa,D,DHCP,1
1513,Wskaż domyślny port do przekazywania poleceń serwera usługi FTP,B,21,0
1514,Jak muszą być ustawione prawa dostępu w systemie Linux aby tylko jego właściciel mógł zapisywać w danym katalogu?,B,rwxr-xr-x,0
1515,Użytkownik komputera testujący połączenia sieciowe poleceniem ping otrzymał wynik jak na rysunku. Co jest przyczyną braku odpowiedzi serwera przy pierwszej probie przy założeniu że domena wp.pl ma adres 212.77.100.101?,C,Brak adresów serwera DNS w konfiguracji karty sieciowej.,1
1516,Który rodzaj macierzy dyskowych oferuje tzw. mirroring dysków?,B,RAID-1,0
1517,W sieci lokalnej protokołem dynamicznej konfiguracji adresów IP jest,C,DHCP,0
1518,Przedstawione parametry karty sieciowej wskazują że karta,C,pracuje w sieciach bezprzewodowych,1
1519,Jeśli wydanie komendy ping 127.0.0.1 skutkuje brakiem odpowiedzi to,D,karta sieciowa komputera z którego ping został wysłany nie działa i wystąpił błąd w konfiguracji stosu TCP/IP,0
1520,Głównym zadaniem przełącznika /renew komendy ipconfig w systemie rodziny Windows jest,C,odnowienie dynamicznego adresu IP przez komunikację z serwerem DHCP.,0
1521,Aby połączyć komputery w sieć przewodową opartą na topologii gwiazdy należy zastosować,D,przełącznik (switch),0
1522,Administrator nadający adresy prywatne w klasie C z maską 24 bitową dla komputerów w sieci lokalnej wybierze zakres,D,192.168.0.1 - 192.168.0.254,0
1523,Najlepszym zabezpieczeniem sieci bezprzewodowej jest,D,protokół WPA2,0
1524,Aby podłączyć do Internetu sieć lokalną działającą w oparciu o adresy prywatne należy zastosować,D,router,0
1525,Rysunek przedstawia topologię,D,rozszerzonej gwiazdy,1
1526,W architekturze sieci lokalnych typu klient-serwer,D,wyróżnione komputery pełnią rolę serwerów udostępniających zasoby a pozostałe komputery z tych zasobów korzystają,0
1527,Którą normę stosuje się dla okablowania strukturalnego w sieciach komputerowych,D,TIA/EIA-568-B,0
1528,Kontrolę poprawności przesyłania danych w sieciach Ethernet zapewnia protokół,B,TCP,0
1529,Urządzenie przedstawione na rysunku to,C,koncentrator,1
1530,Zastosowanie którego urządzenia może być przyczyną zwiększenia liczby kolizji pakietów w sieci?,D,Koncentratora,0
1531,Rysunek przedstawia symbol graficzny,C,przełącznika,1
1532,Funkcją serwera FTP jest,C,udostępnianie plików,0
1533,Które urządzenie należy zastosować do podziału domeny rozgłoszeniowej?,B,Ruter,0
1534,Największą szybkość transmisji danych w sieci bezprzewodowej uzyska się stosując urządzenia standardu,D,802.11 n,0
1535,Jaki będzie łączny koszt materiałów służących do wykonania 20 kabli połączeniowych typu patchcord o długości 15m każdy jeśli 1 metr bieżącego kabla kosztuje 1zł a wtyk 50 gr?,C,50 zł,0
1536,Ile wynosi maksymalna szybkość transmisji danych w sieci lokalnej w której do budowy okablowania strukturalnego zastosowano przewód UTP kat.5e?,C,1 Gb/s,0
1537,Kabel typu skrętka posiadający każdą parę przewodów w osobnym ekranie z folii przy czym wszystkie przewody znajdują się w ekranie z folii jest oznaczony symbolem,D,F/FTP,0
1538,Jaka jest standardowa wartość maksymalnej odległości pomiędzy urządzeniami sieciowymi połączonymi bezpośrednio przewodem UTP kat.5e?,B,100 m,0
1539,Który standard sieci Ethernet należy zastosować przy połączeniu bezpośrednim urządzeń sieciowych oddalonych od siebie o 1 km?,D,1000Base-LX,0
1540,Do zarobienia końcówek kabla UTP jest stosowany wtyk,C,8P8C,0
1541,Który z adresów jest adresem rozgłoszeniowym dla hosta o adresie IP 171.25.172.29 i masce sieci 255.255.0.0?,D,171.25.255.255,0
1542,Jaki jest adres sieci w której pracuje host o adresie IP 10.10.10.6 klasy A?,A,10.0.0.0,0
1543,Ile jest adresów IP dostępnych do adresowania komputerów w sieci o adresie 192.168.100.0 i masce 255.255.255.0?,B,254,0
1544,Maska w postaci pełnej podsieci o prefiksie /25 to,A,255.255.255.128,0
1545,Aby zwiększyć bezpieczeństwo zasobów sieciowych administrator sieci komputerowej w firmie otrzymał polecenie podzielenia istniejącej lokalnej sieci komputerowej na 16 podsieci. Dotychczasowa sieć miała adres IP 192.168.20.0 z maską 255.255.255.0. Którą maskę sieci powinien zastosować administrator?,C,255.255.255.240,0
1546,Tester okablowania strukturalnego pozwala sprawdzić,D,mapę połączeń,0
1547,Które polecenie w systemie operacyjnym Linux jest stosowane do wyświetlania konfiguracji interfejsów sieciowych?,C,ifconfig,0
1548,Która usługa musi być uruchomiona na ruterze aby ruter mógł zmieniać adresy IP źródłowe i docelowe przy przekazywaniu pakietów pomiędzy sieciami?,D,NAT,0
1549,Najskuteczniejszą metodą zabezpieczenia domowej sieci Wi-Fi jest,D,stosowanie szyfrowania WPA-PSK,0
1550,Którym poleceniem w systemie Linux przypisuje się adres IP i maskę podsieci dla interfejsu eth0?,D,ifconfig eth0 172.16.31.1 netmask 255.255.0.0,0
1551,Do automatycznego przydzielania adresów IP stacjom roboczym jest stosowana usługa,C,DHCP,0
1552,Zadaniem usługi DNS jest,B,translacja nazw domenowych na adresy IP,0
1553,Serwer obsługujący żądania protokołu komunikacyjnego HTTP to serwer,D,WWW,0
1554,Na zdjęciu przedstawiono,A,terminator BNC,1
1555,Który z wymienionych protokołów jest protokołem działającym w warstwie aplikacji?,A,FTP,0
1556,Który wymieniony protokół zapewnia korzystanie z szyfrowanego połączenia ze stroną internetową?,C,HTTPS,0
1557,Protokół umożliwiający bezpieczną zdalną pracę na serwerze to,A,SSH,0
1558,Aby umożliwić wymianę danych pomiędzy dwoma różnymi sieciami należy zastosować,B,router,0
1559,Liczba 22 użyta w adresie http://www.adres_serwera.pl:22 oznacza numer,A,portu inny od standardowego numeru dla danej usługi,0
1560,Które środowisko powinien wybrać administrator sieci aby zainstalować serwer stron WWW w systemie Linux?,B,Apache,0
1561,Który program należy zainstalować na serwerze internetowym z systemem Linux aby można było korzystać z baz danych?,D,MySqld,0
1562,Atak DDoS (ang. Disributed Denial of Service) na serwer spowoduje,D,przeciążenie aplikacji serwującej określone dane,0
1563,Podstawową metodą zabezpieczenia sieci komputerowej przed atakiem z zewnątrz jest stosowanie,B,zapory sieciowej,0
1564,Do monitorowania transmisji danych w sieci komputerowej należy zastosować program typu,A,sniffer,0
1565,Który typ fizycznej topologii sieci komputerowej przedstawia rysunek?,B,Pełnej siatki,1
1566,Rysunek przedstawia fizyczną topologię,C,Gwiazdy,1
1567,Ile domen kolizyjnych i rozgłoszeniowych jest widocznych na schemacie?,B,9 domen kolizyjnych i 4 domeny rozgłoszeniowe,1
1568,Który rodzaj standardu zakończenia przewodu okablowania strukturalnego przedstawia rysunek?,A,T568A,1
1569,Który zapis jest prawidłowym adresem IPv6?,B,2001:DB8::BAF:FE94,0
1570,Identyfikowanie adresów fizycznych MAC na podstawie adresów logicznych IP jest wynikiem działania protokołu,A,ARP,0
1571,Symbol którego urządzenia wskazuje na rysunek strzałka?,D,Routera,1
1572,Zdjęcie przedstawia,C,Przełącznik,1
1573,Które stwierdzenie dotyczy sieci P2P - peer to peer?,D,Komputer w sieci może równocześnie pełnić rolę serwera i klienta,0
1574,Aby była możliwa komunikacja między sieciami VLAN stosuje się,A,Router,0
1575,Narzędzie na zdjęciu służy do,D,Wykonania zakończeń kablowych w złączach LSA,1
1576,Który przyrząd należy wybrać do pomiarów mapy połączeń okablowania strukturalnego sieci lokalnej?,C,Analizator sieci LAN,0
1577,Ile hostów maksymalnie można zaadresować w sieci o adresie IP klasy B?,C,65534,0
1578,Serwer DHCP przydziela adresy z sieci o adresie 192.168.0.0. Którą maskę należy przypisać sieci aby serwer mógł nadać 510 urządzeniom pracującym w sieci po jednym adresie IP?,C,255.255.254.0,0
1579,Który adres IP jest adresem urządzenia pracującego w sieci 10.0.0.0/17?,B,10.0.127.128,0
1580,Który rodzaj rozbudowy serwera wymaga instalacji dodatkowych sterowników?,D,Montaż kolejnej karty sieciowej,0
1581,Na podstawie którego adresu przełącznik podejmuje decyzje o przesyłaniu ramki?,D,Adresu docelowego MAC,0
1582,Która funkcja punktu dostępowego pozwala zabezpieczyć sieć bezprzewodową tak aby tylko urządzenia o określonych adresach fizycznych mogły się do niej podłączyć?,C,Filtrowanie adresów MAC,0
1583,Który parametr w konfiguracji punktu dostępowego pełni rolę loginu wykorzystywanego podczas próby nawiązywania połączenia z punktem dostępowym sieci bezprzewodowej?,D,Wireless Network Name,1
1584,Na podstawie analizy ruchu sieciowego wskaż adres IP i numer portu z którego host otrzymuje odpowiedź,A,46.28.247.123:80,1
1585,Które polecenie systemu Windows wyświetla tabele routingu hosta?,B,netstat -r,0
1586,Użytkownikom pracującym poza biurem uzyskanie zdalnego dostępu do serwera w sieci prywatnej przy wykorzystaniu infrastruktury sieci publicznej takiej jak Internet umożliwia,B,VPN,0
1587,Pierwszą usługą instalowaną na serwerze jest usługa domenowa w usłudze Active Directory. Podczas instalacji kreator automatycznie wyświetli monit o konieczności zainstalowania usługi serwera,B,DNS,0
1588,Adresem IP hosta skonfigurowanym na karcie sieciowej eth0 jest,B,128.171.104.26,1
1589,Aby zagwarantować użytkownikom Active Directory możliwość logowania się i dostęp do zasobów tej usługi w przypadku awarii kontrolera domeny należy,A,zainstalować drugi kontroler domeny,0
1590,Rozgłaszaniem drukarek w sieci kolejkowaniem zadań wydruku oraz przydzielaniem praw dostępu do drukarek zajmuje się serwer,D,wydruku,0
1591,Profil użytkownika systemu Windows wykorzystany do logowania się na dowolnym komputerze w sieci który jest przechowywany na serwerze i może być modyfikowany przez użytkownika to profil,B,mobilny,0
1592,Który zakres grupy domyślnie jest ustawiony dla nowo utworzonej grupy w kontrolerze domeny systemu Windows Serwer?,A,Globalny,0
1593,Które polecenie w systemie Linux umożliwia przydzielanie praw do plików i katalogów?,C,chmod,0
1594,Do zdalnego zarządzania stacjami roboczymi nie jest stosowany,B,program Wireshark,0
1595,Protokół używany przez WWW to,B,HTTP,0
1596,Internetowy protokół pocztowy który pozwala na zarządzanie wieloma folderami pocztowymi oraz pobieranie i operowanie na listach znajdujących się na zdalnym serwerze to,C,IMAP,0
1597,Które urządzenie w sieci lokalnej NIE DZIELI obszaru sieci komputerowej na domeny kolizyjne?,D,Koncentrator,0
1598,Protokołem połączeniowym warstwy transportowej modelu ISO/OSI jest,A,TCP,0
1599,Który z typów rekordów DNS w rodzinie systemów Windows Server definiuje alias (alternatywną nazwę) rekordu A dla kanonicznej (rzeczywistej) nazwy hosta?,D,CNAME,0
1600,Urządzeniem które umożliwia podłączenie lokalnej sieci komputerowej do Internetu jest,A,router,0
1601,Menedżer usług IIS (Internet Information Services) systemu Windows jest interfejsem graficznym służącym do konfigurowania serwera,B,WWW,0
1602,Użytkownicy z sieci wewnętrznej komunikują się ze sobą ale nie mogą się skomunikować z serwerem WWW. Wynik polecenia ping z komputerów bramy jest pozytywny. Który element sieci NIE MOŻE być przyczyną problemu?,C,Przełącznik,1
1603,W systemach Windows w celu ustalenia gdzie w sieci zatrzymał się pakiet używa się komendy,B,tracert,0
1604,Co nie powinno być miejscem przechowywania kopii bezpieczeństwa danych znajdujących się na dysku twardym komputera?,D,Inna partycja dysku tego komputera,0
1605,Którą fizyczną topologię sieci przedstawia rysunek?,A,Gwiazdy,1
1606,Która norma dotyczy okablowania strukturalnego?,B,EIA/TIA 568A,0
1607,Maksymalna długość kabla miedzianego UTP kategorii 5e łączącego bezpośrednio dwa urządzenia sieciowe zgodnie z standardem Fast Ethernet 100Base-TX wynosi,A,100 m,0
1608,Który z protokołów jest protokołem połączeniowym?,B,TCP,0
1609,Który z protokołów jest używany do wymiany informacji o trasach oraz dostępności sieci pomiędzy ruterami należącymi do tego samego systemu autonomicznego?,A,RIP,0
1610,ARP (Adress Resolution Protocol) jest protokołem realizującym odwzorowanie adresu IP na,B,adres sprzętowy,0
1611,Które urządzenie przedstawia rysunek?,D,Punkt dostępowy,1
1612,Które urządzenie należy wybrać do pomiarów mapy połączeń okablowania strukturalnego sieci lokalnej?,D,Analizator sieci LAN,0
1613,Które urządzenie należy zastosować w sieci Ethernet aby ograniczyć liczbę kolizji pakietów?,A,Przełącznik,0
1614,Metoda dostępu do medium transmisyjnego z wykrywaniem kolizji w sieciach LAN jest,D,CSMA/CD,0
1615,Okablowanie pionowe w sieci strukturalnej łączy się,D,w głównym punkcie rozdzielczym w pośrednimi punktami rozdzielczymi,0
1616,Które polecenie systemu operacyjnego Linux pozwala sprawdzić aktualną konfigurację interfejsu sieciowego komputera?,C,ifconfig,0
1617,Do wykonania sieci komputerowej w pomieszczeniu wykorzystano 25 metrów skrętki UTP 5 gniazd typu RJ45 oraz odpowiednią liczbę wtyków RJ45 niezbędnych do zarobienia 5 kabli połączeniowych typu patchcord. Jaki jest koszt wykorzystanych materiałów do wykonania sieci? Ceny jednostkowe wykorzystanych materiałów są podane w tabeli.,C,80 zł,1
1618,Jaka jest maksymalna prędkość transmisji danych w sieci przy zastosowaniu skrętki kategorii 5e?,A,1 Gb/s,0
1619,Jaka jest kolejność przewodów we wtyku RJ45 zgodnie z sekwencją połączeń T568A?,D,D,1
1620,Ile par przewodów w standardzie 100Base-TX jest przeznaczonych do transmisji danych w obu kierunkach?,B,2 pary,0
1621,Adresem rozgłoszeniowym sieci w której pracuje host o adresie IP 195.120.252.32 i masce podsieci 255.255.255.192 jest,B,195.120.252.63,0
1622,Który zapis jest prawidłowym adresem IPv6?,B,2001:DB8::BAF:FE94,0
1623,Który zapis jest postacią pełną maski o prefiksie 25?,C,255.255.255.128,0
1624,Jaka jest maksymalna liczba hostów które można zaadresować w sieci o masce 255.255.255.192?,C,62,0
1625,Administrator musi podzielić sieć o adresie 193.115.95.0 z maską 255.255.255.0 na 8 podsieci o takiej samej liczbie adresów. Którą maskę sieci powinien zastosować administrator?,B,255.255.255.224,0
1626,Który przyrząd jest stosowany do pomiarów długości i tłumienności przewodów miedzianych?,D,Reflektometr TDR,0
1627,Rysunek poniżej przedstawia konfigurację zapory ogniowej w ruterze TL-WR340G. Jakie zasady konfiguracji zapory ustawiono?,C,Zapora jest włączona włączone jest filtrowanie adresów IP reguła filtrowania adresów IP jest ustawiona na opcję "zezwalaj pakietom nieokreślonym jakimikolwiek regułami filtrowania przejść przez urządzenie" filtrowanie domen wyłączone,1
1628,Urządzenia standardu 802.11g mogą pracować z maksymalną prędkością przesyłania danych do,B,54 Mb/s,0
1629,Który z wymienionych mechanizmów zapewni najwyższy poziom bezpieczeństwa sieci bezprzewodowych standardu 802.11n?,D,WPA2 (Wi-Fi Protected Access II),0
1630,Co można zaobserwować przy pomocy programu Wireshark?,D,Ruch pakietów sieciowych,0
1631,Administrator sieci komputerowej chce sprawdzić na komputerze z systemem operacyjnym Windows które połączenia są obecnie zestawiane oraz porty na których komputer nasłuchuje. W tym celu powinien zastosować polecenie,D,netstat,0
1632,Którym poleceniem systemu Linux poprawnie skonfigurowano kartę sieciową podając adres IP i maskę sieci dla interfejsu eth1?,B,ifconfig eth1 192.168.1.1 netmask 255.255.255.0,0
1633,Które polecenie rodziny systemów Windows należy zastosować aby skonfigurować statyczny adres IP w wierszu poleceń?,A,netsh,0
1634,Który protokół jest stosowany do pobierania wiadomości e-mail z serwera poczty na komputer użytkownika,B,POP3,0
1635,Która usługa stworzona przez firmę Microsoft umożliwia tłumaczenie nazw komputerów na adresy internetowe?,D,WINS,0
1636,Protokół DNS odpowiada za,A,Odwzorowanie nazw domenowych na adresy IP,0
1637,Protokołem połączeniowym warstwy transportowej modelu ISO/OSI jest,A,TCP,0
1638,Który z profili użytkownika ulega zmianie i jest przechowywany na serwerze dla klienta pracującego w sieci Windows?,B,Mobilny,0
1639,Który protokół jest protokołem warstwy aplikacji modelu ISO/OSI?,A,FTP,0
1640,Które polecenie systemu operacyjnego Linux jest stosowane do śledzenia komunikacji pakietów TCP/IP lub protokołów transmitowanych lub odbieranych w sieci komputerowej do komputerowej do której podłączony jest komputer użytkownika?,D,tcpdump,0
1641,Aby zainstalować serwer proxy w systemie Linux należy zainstalować program,A,Squid,0
1642,Do zdalnego zarządzania stacjami roboczymi nie jest stosowany,B,program Wireshark,0
1643,Atak typu hijacking na serwer sieciowy charakteryzuje się,D,przejęciem kontroli nad połączeniem między komunikującymi się komputerami,0
1644,Co służy do zabezpieczenia komputera przed niepożądanym oprogramowaniem pochodzącym z Internetu?,D,Program antywirusowy,0
1645,W której topologii fizycznej sieci każde urządzenie sieciowe ma dokładnie dwa połączenia po jednym dla swoich najbliższych sąsiadów a dane są przesyłane od jednego komputera do następnego w pętli?,D,Pierścienia,0
1646,Która topologia fizyczna zapewnia połączenia nadmiarowe pomiędzy urządzeniami sieci?,A,Siatki,0
1647,Norma PN-EN 50174 nie zawiera wytycznych dotyczących,D,uziemień instalacji urządzeń przetwarzania danych,0
1648,Który z protokołów jest bezpołączeniowym protokołem warstwy transportowej?,D,UDP,0
1649,IMAP jest protokołem,A,odbioru poczty elektronicznej,0
1650,Którego zadania NIE realizują serwery plików?,A,Zarządzania bazami danych,0
1651,Kabel typu skrętka posiadający każdą parę przewodów w osobnym ekranie z folii przy czym wszystkie przewody znajdują się w ekranie z folii jest oznaczony symbolem,D,F/FTP,0
1652,W modelu hierarchicznym sieci komputery użytkowników są elementami warstwy,B,dostępu,0
1653,Prawidłowo zaprojektowana sieć komputerowa powinna umożliwiać rozbudowę czyli charakteryzować się,C,skalowalnością,0
1654,Aby umożliwić wymianę danych pomiędzy siecią w pracowni a siecią ogólnoszkolną o innej adresacji IP należy wykorzystać,A,ruter,0
1655,Jaki będzie koszt zakupu kabla UTP kat.5e przeznaczonego do budowy sieci komputerowej złożonej z 6 stanowisk komputerowych w której średnia odległość stanowiska od przełącznika wynosi 9 m? Dla każdej linii kablowej należy uwzględnić 1 m zapasu kabla a cena 1 metra kabla wynosi 150 zł.,B,9000 zł,0
1656,Przy budowie sieci przewodowej o maksymalnej szybkości transmisji 1 Gb/s w której maksymalna odległość pomiędzy punktami sieci nie przekracza 100m należy wykorzystać jako medium transmisyjne,A,kabel UTP kategorii 5e,0
1657,Które medium transmisyjne sieci LAN zaleca się do zastosowania w zabytkowych budynkach?,B,Fale radiowe,0
1658,Do zakończenia skrętki wtykiem 8P8C jest stosowane,D,zaciskarka wtyków RJ-45,0
1659,Zestaw narzędzi do montażu okablowania miedzianego typu "skrętka" w sieci lokalnej powinien zawierać,D,zaciskarkę złączy modularnych ściągacz izolacji narzędzie uderzeniowe tester okablowania,0
1660,Przedstawiony na rysunku wtyk (złącze męskie modularne) jest zakończeniem kabla,C,F/UTP,1
1661,Parametrem określającym o ile zmniejszy się moc sygnału w danej parze przewodów po przejściu przez cały tor kablowy jest,B,tłumienie,0
1662,Który błąd okablowania jest widoczny na wyświetlaczu testera pokazującego mapę połączeń żył kabla typu skrętka?,B,Rozwarcie,1
1663,Wskaż domyślną maskę dla adresu IP klasy B,C,255.255.0.0,0
1664,Który z podanych adresów jest adresem klasy C?,D,196.74.6.29,0
1665,Do ilu sieci należą komputery o podanych w tabeli adresach IP i standardowej masce sieci?,C,Czterech,1
1666,Ile maksymalnie komputerów może być zaadresowanych w podsieci o adresie 192.168.1.0/25?,B,126,0
1667,Polecenie systemu Windows stosowane do sprawdzenia trasy po której są przesyłane pakiety w sieci to,B,tracert,0
1668,Które urządzenie należy zainstalować w serwerze by można było automatycznie archiwizować dane na taśmach magnetycznych?,A,Streamer,0
1669,Którą z opcji menu przełącznika należy wybrać by przywrócić mu ustawienia fabryczne?,A,Reset System,1
1670,Zarządzanie pasmem (ang. bandwidth control) w przełączniku to usługa,B,pozwalająca ograniczyć przepustowość na wybranym porcie,0
1671,Przynależność komputera do konkretnej sieci wirtualnej NIE może być określona na podstawie,C,nazwy komputera w sieci lokalnej,0
1672,Które porty należy odblokować w zaporze sieciowej komputera aby można było korzystać z zainstalowanej usługi FTP?,A,20 i 21,0
1673,Aby sygnały dwóch routerów w sieci WiFi standardu 802.11g nie zakłócały się wzajemnie należy ustawić kanały o numerach,B,2 i 7,0
1674,Które cyfry należy wprowadzić na klawiaturze telefonu podłączonego do bramki VoIP po uprzednim wpisaniu *** by wprowadzić adres bramy domyślnej sieci?,D,04,1
1675,Zalecana wielkość pamięci RAM dla systemu operacyjnego Windows Server 2008 to co najmniej,D,2 GB,0
1676,W jaki sposób skonfigurować w systemie Windows Server 2008 ustawienia protokołu TCP/IP karty sieciowej by komputer należał równocześnie do dwóch sieci lokalnych o różnych adresach IP?,C,Wpisać dwa adresy IP korzystając z zakładki "Zaawansowane",0
1677,Którą usługę należy zainstalować na serwerze by było możliwe korzystanie z nazw domenowych?,B,DNS,0
1678,Do której grupy w systemie Windows Server 2008 należy przydzielić użytkownika odpowiedzialnego tylko za archiwizowanie danych przechowywanych na dysku serwera?,C,Operatorzy kopii zapasowych,0
1679,Które polecenie systemu Windows Server 2008 umożliwia promowanie serwera do roli kontrolera domeny?,C,dcpromo,0
1680,Zadaniem programu Wireshark jest,B,monitorowanie działania użytkowników sieci,0
1681,Administrator chce udostępnić w sieci trzem użytkownikom należącym do grupy Serwisanci tylko folder C:instrukcje. Które z rozwiązań powinien zastosować?,D,Udostępnić grupie Serwisanci folder C:instrukcje i nie ograniczać liczby równoczesnych połączeń,0
1682,W technologii Ethernet protokół dostępu do nośnika CSMA/CD jest metodą z,C,,0
1683,Które porty należy odblokować w ustawieniach zapory sieciowej na komputerze z zainstalowaną usługą serwera sieci Web?,B,80 i 443,0
1684,Do którego portu należy podłączyć kabel sieci zewnętrznej by uzyskać pośredni dostęp do Internetu?,D,WAN,1
1685,Która z topologii fizycznych sieci komputerowej jest przedstawiona na rysunku?,D,Podwójnego pierścienia,1
1686,Ile par przewodów skrętki miedzianej kategorii 5e wykorzystuje się do przesyłu danych w standardzie sieci Ethernet 100Base-TX?,B,2,0
1687,Adresem IPv6 autokonfiguracji łącza jest:,C,FE80::/10,0
1688,Który z protokołów wykorzystuje porty 20 i 21?,A,FTP,0
1689,Które protokoły są protokołami warstwy transportowej modelu ISO/OSI?,C,TCP UDP,0
1690,Ile bitów ma adres logiczny IPv6?,D,128,0
1691,Rysunek przedstawia,D,panel krosowy,1
1692,Jak jest nazywana transmisja dwukierunkowa w sieci Ethernet?,D,Full duplex,0
1693,Ile adresów IP jest potrzebnych do zaadresowania 4 komputerów podłączonych do przełącznika tak aby mogły się komunikować ze sobą?,C,4,0
1694,Urządzeniem stosowanym do połączenia 6 komputerów w sieć lokalną jest:,D,przełącznik,0
1695,Do którego urządzenia należy podłączyć komputery aby pracowały w różnych domenach rozgłoszeniowych?,B,Rutera,0
1696,Centralny punkt z którego rozprowadzane jest okablowanie szkieletowe to punkt,D,dystrybucyjny,0
1697,Oblicz koszt wykonania okablowania strukturalnego od 5 punktów abonenckich do panelu krosowego wraz z wykonaniem kabli połączeniowych dla stacji roboczych. W tym celu wykorzystano 50 m skrętki UTP. Punkt abonencki składa się z 2 gniazd typu RJ45.,B,25500 zł,1
1698,Ile maksymalnie urządzeń można zaadresować w sieci o adresacji IPv4 klasy C?,B,254,0
1699,W firmie został zastosowany adres klasy B do podziału na 100 podsieci. Każda z podsieci ma dostępnych maksymalnie 510 adresów IP. Która maska została zastosowana do wyznaczenia podsieci?,D,255.255.254.0,0
1700,Który adres IPv4 określa urządzenie pracujące w sieci o adresie 14.36.64.0/20?,C,14.36.65.1,0
1701,Który z adresów IPv4 wraz z prefiksem jest adresem sieci?,B,64.77.199.192/26,0
1702,Odpowiednikiem maski 255.255.252.0 jest prefiks,A,/22,0
1703,Zmniejszenie liczby jedynek w masce umożliwi zaadresowanie,C,mniejszej liczby sieci i większej liczby urządzeń,0
1704,Na rysunku jest przedstawiona konfiguracja,A,wirtualnych sieci,1
